id,label,formids,users,roles,sortby,enumerators,caseid,province,municipality,barangay,zone,brgy_prefix,hh_resp_name,hh_resp_gender,hh_head
H030375034,H030375034-Rolando Cruz Garcia,"ICM_follow_up_launch,ICM_Business_linked_launch",team_c,,,,H030375034,ILOILO,OTON,Galang,,H030375,Rolando Cruz Garcia,,Fe Gomez Luna
H030375035,H030375035-Ramon Magsaysay Ramos,"ICM_follow_up_launch,ICM_Business_linked_launch",team_c,,,,H030375035,ILOILO,OTON,Galang,,H030375,Ramon Magsaysay Ramos,,Ruperto Cruz Ramos
H030821016,H030821016-Faith Manalang Gomez,"ICM_follow_up_launch,ICM_Business_linked_launch",team_b,,,,H030821016,ILOILO,LEGANES,Cari Mayor,,H030821,Faith Manalang Gomez,,Faith Manalang Gomez
H030821017,H030821017-Rafael Del Rosario De la Rosa,"ICM_follow_up_launch,ICM_Business_linked_launch",team_b,,,,H030821017,ILOILO,LEGANES,Cari Mayor,,H030821,Rafael Del Rosario De la Rosa,,Rafael Del Rosario De la Rosa
H030821018,H030821018-Natividad Gomez Macaraeg,"ICM_follow_up_launch,ICM_Business_linked_launch",team_b,,,,H030821018,ILOILO,LEGANES,Cari Mayor,,H030821,Natividad Gomez Macaraeg,,Renato Flores Ocampo
H030821019,H030821019-Imelda Cruz Dela Cruz,"ICM_follow_up_launch,ICM_Business_linked_launch",team_b,,,,H030821019,ILOILO,LEGANES,Cari Mayor,,H030821,Imelda Cruz Dela Cruz,,Remedios De Leon Manalang
H030821021,H030821021-Milagros Garcia Aquino,"ICM_follow_up_launch,ICM_Business_linked_launch",team_b,,,,H030821021,ILOILO,LEGANES,Cari Mayor,,H030821,Milagros Garcia Aquino,,Rowena Lapuz Ocampo
H030821022,H030821022-Florencia Buenaventura De la Rosa,"ICM_follow_up_launch,ICM_Business_linked_launch",team_b,,,,H030821022,ILOILO,LEGANES,Cari Mayor,,H030821,Florencia Buenaventura De la Rosa,,Florencia Buenaventura De la Rosa
H030821023,H030821023-Leonora Castillo Luna,"ICM_follow_up_launch,ICM_Business_linked_launch",team_b,,,,H030821023,ILOILO,LEGANES,Cari Mayor,,H030821,Leonora Castillo Luna,,Norma Magsaysay Dela Cruz
H030821025,H030821025-Pedro Santos Garcia,"ICM_follow_up_launch,ICM_Business_linked_launch",team_b,,,,H030821025,ILOILO,LEGANES,Cari Mayor,,H030821,Pedro Santos Garcia,,Pedro Santos Garcia
H030821027,H030821027-Zenaida Dela Cruz Delos Reyes,"ICM_follow_up_launch,ICM_Business_linked_launch",team_b,,,,H030821027,ILOILO,LEGANES,Cari Mayor,,H030821,Zenaida Dela Cruz Delos Reyes,,Zenaida Dela Cruz Delos Reyes
H030821028,H030821028-Ramon Bautista Flores,"ICM_follow_up_launch,ICM_Business_linked_launch",team_b,,,,H030821028,ILOILO,LEGANES,Cari Mayor,,H030821,Ramon Bautista Flores,,Ramon Bautista Flores
H030821029,H030821029-Elena Magsaysay Flores,"ICM_follow_up_launch,ICM_Business_linked_launch",team_b,,,,H030821029,ILOILO,LEGANES,Cari Mayor,,H030821,Elena Magsaysay Flores,,Elena Magsaysay Flores
H030821032,H030821032-Lorna Macapagal Cruz,"ICM_follow_up_launch,ICM_Business_linked_launch",team_b,,,,H030821032,ILOILO,LEGANES,Cari Mayor,,H030821,Lorna Macapagal Cruz,,Marilyn Reyes Morales
H030821033,H030821033-Florencia Reyes Aquino,"ICM_follow_up_launch,ICM_Business_linked_launch",team_b,,,,H030821033,ILOILO,LEGANES,Cari Mayor,,H030821,Florencia Reyes Aquino,,Florencia Reyes Aquino
H030821034,H030821034-Norma Macaraeg Lopez,"ICM_follow_up_launch,ICM_Business_linked_launch",team_b,,,,H030821034,ILOILO,LEGANES,Cari Mayor,,H030821,Norma Macaraeg Lopez,,Ramon Lopez De Guzman
